manufacturer,model,serial number,manufactured_date,device_type,_outlier_reason
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3816037,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3828200,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3822726,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3831807,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3830586,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3831239,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3782633,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3830354,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825223,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825288,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3785541,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825471,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3785793,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825020,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3823921,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3823577,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3805055,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826615,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826190,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826314,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826273,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827365,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827207,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827402,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3817236,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827856,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827685,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827744,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827658,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827902,,"Pump, Infusion",
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827796,,"Pump, Infusion",
PHILIPS,MX500,DE671R3701,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671R3663,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671R3664,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671R3705,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671R3760,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671R3685,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671R3691,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE351B7530,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671T5134,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671T5131,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671T4113,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671T5132,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE671T5133,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
PHILIPS,MX500,DE7770D7J2,,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
